x,y,nom_de_la_gare
527,548,Châtelet
527,557,Châtelet
527,787,Saint-Jacques
528,543,Châtelet
528,551,Châtelet
528,554,Châtelet
528,558,Châtelet
528,559,Châtelet
530,237,Simplon
530,539,Châtelet
535,537,Châtelet
538,537,Châtelet
538,538,Châtelet
540,537,Châtelet
541,658,Maubert Mutualité
544,282,Château Rouge
545,263,Marcadet Poissonniers
546,263,Marcadet Poissonniers
553,373,Poissonnière
554,803,Glacière
558,442,Bonne Nouvelle
559,444,Bonne Nouvelle
559,447,Bonne Nouvelle
560,448,Bonne Nouvelle
560,678,Cardinal Lemoine
564,503,Réaumur Sébastopol
565,502,Réaumur Sébastopol
569,549,Hôtel de Ville
569,550,Hôtel de Ville
569,713,Place Monge
570,742,Censier Daubenton
574,311,Barbès Rochechouart
574,313,Barbès Rochechouart
581,593,Pont-Marie
582,115,Basilique de Saint-Denis
585,802,Corvisart
586,443,Strasbourg Saint-Denis
586,450,Strasbourg Saint-Denis
587,444,Strasbourg Saint-Denis
587,444,Strasbourg Saint-Denis
587,447,Strasbourg Saint-Denis
588,769,Les Gobelins
589,686,Jussieu
589,692,Jussieu
589,693,Jussieu
591,686,Jussieu
595,523,Rambuteau
598,400,Château d'Eau
603,584,"Saint-Paul, Le Marais"
603,616,Sully Morland
604,866,Le Kremlin-Bicêtre
606,333,Gare du Nord
606,822,Tolbiac
606,843,Maison Blanche
606,913,"Villejuif, P. Vaillant Couturier"
607,801,Place d'Italie
607,801,Place d'Italie
607,892,"Villejuif, Léo Lagrange"
607,933,"Villejuif, Louis Aragon"
608,871,Le Kremlin-Bicêtre
610,802,Place d'Italie
611,88,Saint-Denis-Université
612,333,Gare du Nord
612,333,Gare du Nord
613,803,Place d'Itali
614,801,Place d'Italie
620,333,Gare du Nord
621,333,Gare du Nord
621,491,Arts et Métiers
622,493,Arts et Métiers
623,372,Gare de l'Est
624,495,Arts et Métiers
625,310,La Chapelle
625,372,Gare de l'Est
627,333,Gare du Nord
627,373,Gare de l'Est
628,225,Porte de la Chapelle
628,373,Gare de l'Est
629,251,Marx Dormoy
629,332,Gare du Nord
633,763,Campo-Formio
634,859,Porte d'Italie
635,338,Gare du Nord
636,337,Gare du Nord
638,421,Jacques Bonsergent
639,473,Temple
644,508,Filles du Calvaire
644,535,Saint-Sébastien-Froissart
644,563,Chemin Vert
645,802,Nationale
646,720,Gare d'Austerlitz
648,589,Bastille
648,714,Gare d'Austerlitz
648,717,Gare d'Austerlitz
649,595,Bastille
649,595,Bastille
649,667,Quai de la Rapée
650,595,Bastille
650,600,Bastille
650,743,Saint-Marcel
651,464,République
651,469,République
652,465,République
652,466,République
652,467,République
654,464,République
658,460,République
659,359,Château Landon
659,459,République
659,461,République
659,461,République
659,461,République
664,454,République
664,455,République
664,455,République
664,456,République
665,455,République
669,858,Porte de Choisy
672,562,Bréguet-Sabin
673,615,Ledru Rollin
676,679,Gare de Lyon
677,481,Oberkampf
677,481,Oberkampf
677,802,Chevaleret
678,340,Louis Blanc
678,340,Louis Blanc
679,673,Gare de Lyon
682,345,Louis Blanc
682,347,Louis Blanc
683,318,Stalingrad
684,314,Stalingrad
684,314,Stalingrad
684,321,Stalingrad
684,321,Stalingrad
686,432,Goncourt
687,667,Gare de Lyon
693,286,Riquet
694,538,Richard Lenoir
703,859,Porte d'Ivry
707,337,Jaurès
708,272,Crimée
710,334,Jaurès
710,335,Jaurès
711,332,Jaurès
711,405,Belleville
711,788,Quai de la Gare
712,369,Colonel Fabien
713,407,Belleville
719,633,Faidherbe-Chaligny
723,256,Corentin-Cariou
724,533,Saint-Ambroise
725,872,Pierre Curie
731,313,Laumière
731,354,Bolivar
735,435,Couronnes
737,481,Parmentier
740,240,Porte de la Villette
741,656,Reuilly Diderot
742,656,Reuilly Diderot
742,888,Mairie d'Ivry
743,551,Voltaire
744,811,Bibliothèque François Mitterand
746,753,Bercy
747,391,Pyrénées
748,805,Bibliothèque François Mitterand
758,295,Ourcq
759,496,Rue Saint-Maur
762,462,Ménilmontant
762,571,Charonne
765,788,Cour Saint-Émilion
766,212,"Aubervilliers-Pantin, Quatre Chemins"
766,681,Montgallet
767,731,Dugommier
770,359,Buttes Chaumont
780,588,Rue des Boulets
786,389,Jourdain
788,495,Père Lachaise
788,496,Père Lachaise
788,522,Philippe-Auguste
788,556,Alexandre Dumas
789,192,Fort d'Aubervilliers
791,158,"La Courneuve, 8 Mai 1945"
791,360,Botzaris
791,593,Avron
791,706,Daumesnil
792,707,Daumesnil
794,295,Porte de Pantin
798,627,Nation
798,628,Nation
799,627,Nation
799,764,Porte de Charenton
801,622,Nation
801,626,Nation
803,622,Nation
806,620,Nation
807,619,Nation
808,619,Nation
808,722,Michel Bizot
810,616,Nation
812,614,Nation
812,614,Nation
813,687,Bel Air
818,795,Liberté
819,383,Place des Fêtes
820,384,Place des Fêtes
820,390,Place des Fêtes
820,743,Porte Dorée
821,334,Danube
821,388,Place des Fêtes
830,493,Gambetta
830,495,Gambetta
831,667,Picpus
832,295,Hoche
834,602,Buzenval
841,818,Charenton-Écoles
845,354,Pré-Saint-Gervais
845,634,Porte de Vincennes
849,588,Maraîchers
855,390,Télégraphe
856,458,Pelleport
858,281,Église de Pantin
864,574,Porte de Montreuil
865,841,École Vétérinaire de Maisons-Alfort
872,496,Porte de Bagnolet
876,652,"Saint-Mandé, Tourelle"
877,262,"Bobigny-Pantin, Raymond Queneau"
878,559,Robespierre
879,382,Porte des Lilas
879,387,Porte des Lilas
880,387,Porte des Lilas
881,424,Saint-Fargeau
882,860,"Maisons-Alfort, Stade"
882,915,Créteil-Université
883,878,Maisons-Alfort les Juilliottes
883,897,"Créteil-l'Echat, Hôpital Henri Mondor"
883,934,Créteil-Préfecture
892,545,Croix de Chavaux
892,669,Bérault
902,237,"Bobigny, Pablo Picasso"
904,496,Galliéni
906,358,Mairie des Lilas
906,530,Mairie de Montreuil
907,682,Château de Vincennes
